 Ense  Average  Dmax                 =  45.67
 Ense  Average  Dmax                 =  45.13
 Pool  Average  Dmax                 =   0.00
 Pool Histogram Dmax                 =  41.99
       Size    Pool freq.    Sel. freq.
       20.14  0.0000000000  0.0000000000
       21.23  0.0004600000  0.0000000000
       22.31  0.0009000000  0.0011614402
       23.40  0.0017400000  0.0013937282
       24.49  0.0031600000  0.0048780488
       25.58  0.0053000000  0.0055749129
       26.66  0.0090800000  0.0060394890
       27.75  0.0134000000  0.0083623693
       28.84  0.0185000000  0.0222996516
       29.92  0.0238000000  0.0202090592
       31.01  0.0298000000  0.0227642276
       32.10  0.0340400000  0.0239256678
       33.18  0.0382400000  0.0243902439
       34.27  0.0424200000  0.0239256678
       35.36  0.0455400000  0.0239256678
       36.44  0.0467800000  0.0216027875
       37.53  0.0481400000  0.0276422764
       38.62  0.0488800000  0.0350754936
       39.70  0.0480200000  0.0213704994
       40.79  0.0473800000  0.0199767712
       41.88  0.0459400000  0.0322880372
       42.97  0.0443000000  0.0250871080
       44.05  0.0433200000  0.0246225319
       45.14  0.0410600000  0.0253193961
       46.23  0.0383200000  0.0408826945
       47.31  0.0362600000  0.0596980256
       48.40  0.0329800000  0.0785133566
       49.49  0.0295800000  0.0729384437
       50.57  0.0268200000  0.0833914053
       51.66  0.0244200000  0.0694541231
       52.75  0.0218200000  0.0434378630
       53.83  0.0196600000  0.0250871080
       54.92  0.0166200000  0.0250871080
       56.01  0.0142800000  0.0148664344
       57.10  0.0117000000  0.0137049942
       58.18  0.0097800000  0.0111498258
       59.27  0.0080200000  0.0102206736
       60.36  0.0066000000  0.0048780488
       61.44  0.0054800000  0.0051103368
       62.53  0.0046400000  0.0051103368
       63.62  0.0036000000  0.0027874564
       64.70  0.0029000000  0.0027874564
       65.79  0.0021200000  0.0027874564
       66.88  0.0014800000  0.0023228804
       67.96  0.0009400000  0.0018583043
       69.05  0.0006200000  0.0006968641
       70.14  0.0003600000  0.0006968641
       71.22  0.0003000000  0.0006968641
       72.31  0.0001800000  0.0000000000
       73.40  0.0001000000  0.0000000000
       74.49  0.0000600000  0.0000000000
       75.57  0.0000600000  0.0000000000
       76.66  0.0000400000  0.0000000000
       77.75  0.0000000000  0.0000000000
